TICKER,THEME
AAOI,AI_Semicon
ACLS,AI_Semicon
ACMR,AI_Semicon
ADI,AI_Semicon
AEHR,AI_Semicon
AEIS,AI_Semicon
ALGM,AI_Semicon
ALGN,AI_Semicon
AMAT,AI_Semicon
AMBA,AI_Semicon
AMD,AI_Semicon
AMKR,AI_Semicon
ANSS,AI_Semicon
AOSL,AI_Semicon
APH,AI_Semicon
ARM,AI_Semicon
ARW,AI_Semicon
ASAN,AI_Semicon
ASGN,AI_Semicon
ASML,AI_Semicon
ASX,AI_Semicon
ASYS,AI_Semicon
AVGO,AI_Semicon
AVNW,AI_Semicon
AVT,AI_Semicon
CAMT,AI_Semicon
CDNS,AI_Semicon
CDW,AI_Semicon
CEVA,AI_Semicon
CIEN,AI_Semicon
CLS,AI_Semicon
COHR,AI_Semicon
COHU,AI_Semicon
CRUS,AI_Semicon
DIOD,AI_Semicon
ENPH,AI_Semicon
ENTG,AI_Semicon
FLEX,AI_Semicon
FORM,AI_Semicon
GFS,AI_Semicon
GLW,AI_Semicon
GTLB,AI_Semicon
HIMX,AI_Semicon
ICHR,AI_Semicon
IGV,AI_Semicon
IIVI,AI_Semicon
IMOS,AI_Semicon
INDI,AI_Semicon
INTC,AI_Semicon
IPGP,AI_Semicon
JABIL,AI_Semicon
KEYS,AI_Semicon
KLAC,AI_Semicon
LASE,AI_Semicon
LITE,AI_Semicon
LRCX,AI_Semicon
LSCC,AI_Semicon
MCHP,AI_Semicon
MKSI,AI_Semicon
MPWR,AI_Semicon
MRCY,AI_Semicon
MRVL,AI_Semicon
MTSI,AI_Semicon
MU,AI_Semicon
MXL,AI_Semicon
NOVT,AI_Semicon
NVDA,AI_Semicon
NVMI,AI_Semicon
NVTS,AI_Semicon
NXPI,AI_Semicon
OLED,AI_Semicon
ON,AI_Semicon
ONTO,AI_Semicon
PERI,AI_Semicon
PI,AI_Semicon
PLAB,AI_Semicon
PLES,AI_Semicon
POET,AI_Semicon
POWI,AI_Semicon
QCOM,AI_Semicon
QRVO,AI_Semicon
SANM,AI_Semicon
SEDG,AI_Semicon
SGH,AI_Semicon
SITM,AI_Semicon
SLAB,AI_Semicon
SMTC,AI_Semicon
SNPS,AI_Semicon
SPSC,AI_Semicon
STM,AI_Semicon
SWKS,AI_Semicon
TEL,AI_Semicon
TER,AI_Semicon
TSM,AI_Semicon
TTMI,AI_Semicon
TXN,AI_Semicon
UCTT,AI_Semicon
UMC,AI_Semicon
VECO,AI_Semicon
VIAV,AI_Semicon
VICR,AI_Semicon
VISH,AI_Semicon
WCC,AI_Semicon
WDC,AI_Semicon
WOLF,AI_Semicon
ALAB,Memory_Storage
FIO,Memory_Storage
IOVA,Memory_Storage
NTAP,Memory_Storage
PHYS,Memory_Storage
PSTG,Memory_Storage
PURE,Memory_Storage
RMBS,Memory_Storage
SIMO,Memory_Storage
SKYT,Memory_Storage
SNDK,Memory_Storage
STX,Memory_Storage
AAON,AI_Server_DataCenter
AMT,AI_Server_DataCenter
ANET,AI_Server_DataCenter
CARR,AI_Server_DataCenter
CAT,AI_Server_DataCenter
CCI,AI_Server_DataCenter
CMI,AI_Server_DataCenter
CSCO,AI_Server_DataCenter
DELL,AI_Server_DataCenter
DLR,AI_Server_DataCenter
DY,AI_Server_DataCenter
EME,AI_Server_DataCenter
EQIX,AI_Server_DataCenter
ETN,AI_Server_DataCenter
FIX,AI_Server_DataCenter
GNRC,AI_Server_DataCenter
GVA,AI_Server_DataCenter
HPE,AI_Server_DataCenter
IRM,AI_Server_DataCenter
JCI,AI_Server_DataCenter
MTZ,AI_Server_DataCenter
MYRG,AI_Server_DataCenter
NVT,AI_Server_DataCenter
PWR,AI_Server_DataCenter
SBAC,AI_Server_DataCenter
SMCI,AI_Server_DataCenter
SNA,AI_Server_DataCenter
STRL,AI_Server_DataCenter
TT,AI_Server_DataCenter
VICI,AI_Server_DataCenter
VPN,AI_Server_DataCenter
VRT,AI_Server_DataCenter
AEE,Power_Grid_Energy
AEP,Power_Grid_Energy
AES,Power_Grid_Energy
APD,Power_Grid_Energy
ATO,Power_Grid_Energy
BE,Power_Grid_Energy
CEG,Power_Grid_Energy
CMS,Power_Grid_Energy
CNP,Power_Grid_Energy
D,Power_Grid_Energy
DTE,Power_Grid_Energy
DUK,Power_Grid_Energy
ED,Power_Grid_Energy
EIX,Power_Grid_Energy
EMR,Power_Grid_Energy
ES,Power_Grid_Energy
ETR,Power_Grid_Energy
EVRG,Power_Grid_Energy
EXC,Power_Grid_Energy
FE,Power_Grid_Energy
FLNC,Power_Grid_Energy
HASI,Power_Grid_Energy
HUBB,Power_Grid_Energy
ITRI,Power_Grid_Energy
LIN,Power_Grid_Energy
LNT,Power_Grid_Energy
MOD,Power_Grid_Energy
NEE,Power_Grid_Energy
NI,Power_Grid_Energy
ORA,Power_Grid_Energy
PCG,Power_Grid_Energy
PEG,Power_Grid_Energy
PH,Power_Grid_Energy
PLUG,Power_Grid_Energy
PNW,Power_Grid_Energy
PPL,Power_Grid_Energy
SO,Power_Grid_Energy
SRE,Power_Grid_Energy
STEM,Power_Grid_Energy
TLN,Power_Grid_Energy
VST,Power_Grid_Energy
WEC,Power_Grid_Energy
WTS,Power_Grid_Energy
XEL,Power_Grid_Energy
BWXT,SMR_Nuclear
CCJ,SMR_Nuclear
DNN,SMR_Nuclear
GEV,SMR_Nuclear
LEU,SMR_Nuclear
NNE,SMR_Nuclear
NXE,SMR_Nuclear
OKLO,SMR_Nuclear
SMR,SMR_Nuclear
UEC,SMR_Nuclear
UUUU,SMR_Nuclear
ACHR,Defense_Drone_Space
AIR,Defense_Drone_Space
AJRD,Defense_Drone_Space
ASTS,Defense_Drone_Space
ATI,Defense_Drone_Space
AVAV,Defense_Drone_Space
BA,Defense_Drone_Space
BKSY,Defense_Drone_Space
CACI,Defense_Drone_Space
CW,Defense_Drone_Space
DPRO,Defense_Drone_Space
GD,Defense_Drone_Space
GSAT,Defense_Drone_Space
HEI,Defense_Drone_Space
HII,Defense_Drone_Space
HWM,Defense_Drone_Space
HXL,Defense_Drone_Space
IRDM,Defense_Drone_Space
JOBY,Defense_Drone_Space
KAMN,Defense_Drone_Space
KOPN,Defense_Drone_Space
KTOS,Defense_Drone_Space
LDOS,Defense_Drone_Space
LHX,Defense_Drone_Space
LII,Defense_Drone_Space
LLAP,Defense_Drone_Space
LMT,Defense_Drone_Space
LUNR,Defense_Drone_Space
MRTN,Defense_Drone_Space
NOC,Defense_Drone_Space
NPO,Defense_Drone_Space
ONDS,Defense_Drone_Space
PL,Defense_Drone_Space
RCAT,Defense_Drone_Space
RKLB,Defense_Drone_Space
RTX,Defense_Drone_Space
SAIC,Defense_Drone_Space
SPIR,Defense_Drone_Space
SPR,Defense_Drone_Space
TDG,Defense_Drone_Space
TDY,Defense_Drone_Space
TXT,Defense_Drone_Space
VSAT,Defense_Drone_Space
VUZI,Defense_Drone_Space
AKAM,Cybersecurity
CHKP,Cybersecurity
CRWD,Cybersecurity
CYBR,Cybersecurity
FTNT,Cybersecurity
GEN,Cybersecurity
GENI,Cybersecurity
IBM,Cybersecurity
MSFT,Cybersecurity
MSI,Cybersecurity
NET,Cybersecurity
OKTA,Cybersecurity
ORCL,Cybersecurity
PANW,Cybersecurity
PING,Cybersecurity
QLYS,Cybersecurity
RPD,Cybersecurity
S,Cybersecurity
SPLK,Cybersecurity
TENB,Cybersecurity
VRNS,Cybersecurity
ZS,Cybersecurity
ABNB,Cloud_AI_Software
ADBE,Cloud_AI_Software
AI,Cloud_AI_Software
AMZN,Cloud_AI_Software
APP,Cloud_AI_Software
BBAI,Cloud_AI_Software
BKNG,Cloud_AI_Software
BOX,Cloud_AI_Software
CFLT,Cloud_AI_Software
CRM,Cloud_AI_Software
DASH,Cloud_AI_Software
DBX,Cloud_AI_Software
DDOG,Cloud_AI_Software
DOCU,Cloud_AI_Software
DT,Cloud_AI_Software
DUOL,Cloud_AI_Software
ESTC,Cloud_AI_Software
GOOGL,Cloud_AI_Software
HCP,Cloud_AI_Software
HUBS,Cloud_AI_Software
INTU,Cloud_AI_Software
IOT,Cloud_AI_Software
JFROG,Cloud_AI_Software
MDB,Cloud_AI_Software
MNDY,Cloud_AI_Software
